iShares S&P 100 ETF
Fund Holdings as of,"Dec 29, 2023"
Inception Date,"Oct 23, 2000"
Shares Outstanding,"56,350,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","95,071,769.28","0.76","95,071,769.28","1,881,864.00","50.52","United States","NASDAQ","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","92,523,927.38","0.74","92,523,927.38","225,278.00","410.71","United States","NASDAQ","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","88,742,616.66","0.71","88,742,616.66","806,238.00","110.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","83,046,100.46","0.66","83,046,100.46","1,687,243.00","49.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","81,808,533.25","0.65","81,808,533.25","1,865,645.00","43.85","United States","NASDAQ","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","77,824,946.81","0.62","77,824,946.81","738,167.00","105.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","76,756,070.74","0.61","76,756,070.74","850,106.00","90.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","75,524,778.21","0.60","75,524,778.21","2,623,299.00","28.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","74,787,449.85","0.59","74,787,449.85","517,095.00","144.63","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","73,635,903.90","0.59","73,635,903.90","1,953,207.00","37.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","71,924,915.16","0.57","71,924,915.16","421,946.00","170.46","United States","NASDAQ","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","71,613,868.84","0.57","71,613,868.84","248,642.00","288.02","United States","NASDAQ","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","70,683,392.26","0.56","70,683,392.26","305,539.00","231.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","70,076,451.03","0.56","70,076,451.03","237,009.00","295.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","69,563,268.30","0.55","69,563,268.30","283,215.00","245.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","69,382,816.50","0.55","69,382,816.50","424,230.00","163.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","68,867,414.64","0.55","68,867,414.64","264,204.00","260.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","67,854,353.28","0.54","67,854,353.28","721,241.00","94.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GE","GENERAL ELECTRIC","Industrials","Equity","64,537,385.80","0.51","64,537,385.80","505,660.00","127.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","64,231,237.06","0.51","64,231,237.06","306,286.00","209.71","United States","NASDAQ","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","64,031,524.41","0.51","64,031,524.41","551,663.00","116.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","61,740,719.04","0.49","61,740,719.04","568,672.00","108.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","59,671,218.75","0.47","59,671,218.75","268,125.00","222.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","58,447,626.93","0.46","58,447,626.93","151,509.00","385.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","57,898,279.10","0.46","57,898,279.10","953,215.00","60.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","57,496,888.98","0.46","57,496,888.98","16,209.00","3,547.22","United States","NASDAQ","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","56,209,138.02","0.45","56,209,138.02","668,043.00","84.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","55,740,945.04","0.44","55,740,945.04","3,321,868.00","16.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","54,752,763.25","0.44","54,752,763.25","587,161.00","93.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","52,832,581.83","0.42","52,832,581.83","336,021.00","157.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","52,728,033.60","0.42","52,728,033.60","64,952.00","811.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","50,940,985.80","0.40","50,940,985.80","530,580.00","96.01","United States","NASDAQ","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","50,924,185.56","0.40","50,924,185.56","618,162.00","82.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","50,108,017.14","0.40","50,108,017.14","267,471.00","187.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","49,758,223.32","0.40","49,758,223.32","124,436.00","399.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","48,505,395.40","0.39","48,505,395.40","945,340.00","51.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","47,569,558.40","0.38","47,569,558.40","691,418.00","68.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","47,117,406.00","0.37","47,117,406.00","596,725.00","78.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","46,897,175.06","0.37","46,897,175.06","578,906.00","81.01","United States","NASDAQ","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","46,754,858.64","0.37","46,754,858.64","216,578.00","215.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","46,496,078.64","0.37","46,496,078.64","102,586.00","453.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","45,779,019.35","0.36","45,779,019.35","632,045.00","72.43","United States","NASDAQ","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","45,739,522.08","0.36","45,739,522.08","889,182.00","51.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","37,885,818.67","0.30","37,885,818.67","236,299.00","160.33","United States","NASDAQ","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","35,510,941.72","0.28","35,510,941.72","506,431.00","70.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","34,724,211.36","0.28","34,724,211.36","357,834.00","97.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","33,147,579.70","0.26","33,147,579.70","821,705.00","40.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","31,324,679.04","0.25","31,324,679.04","723,768.00","43.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Financials","Equity","30,725,019.66","0.24","30,725,019.66","500,326.00","61.41","United States","NASDAQ","USD","1.00","USD","-"
"TGT","TARGET CORP","Consumer Staples","Equity","30,507,360.94","0.24","30,507,360.94","214,207.00","142.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CL","COLGATE-PALMOLIVE","Consumer Staples","Equity","30,491,785.14","0.24","30,491,785.14","382,534.00","79.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","28,134,048.60","0.22","28,134,048.60","257,355.00","109.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","27,327,670.80","0.22","27,327,670.80","105,240.00","259.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FDX","FEDEX CORP","Industrials","Equity","27,152,281.98","0.22","27,152,281.98","107,334.00","252.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
